provider,n_neuron,t_steps,batch_size,fanout,status,max_abs_diff,latency_ms
eager_native_sparse,8192,16,4,32,passed,1.9073486328125e-06,5.328274994099047
torch_compile_reduce_overhead,8192,16,4,32,passed,1.9073486328125e-06,7.522792999225203
cudagraph_native_sparse,8192,16,4,32,passed,1.9073486328125e-06,0.5105539967189543
cudagraph_native_sparse_chunked,8192,16,4,32,passed,1.9073486328125e-06,0.537085004907567
eager_prespan,8192,16,4,32,passed,1.9073486328125e-06,4.620715997589286
cudagraph_prespan,8192,16,4,32,passed,1.9073486328125e-06,0.41222699655918404
cudagraph_prespan_chunked,8192,16,4,32,passed,1.9073486328125e-06,0.44168299791635945
persistent,8192,16,4,32,passed,1.9073486328125e-06,0.7642779964953661
eager_native_sparse,8192,32,4,32,passed,2.0265579223632812e-06,10.656314996595029
torch_compile_reduce_overhead,8192,32,4,32,passed,2.0265579223632812e-06,15.065781000885181
cudagraph_native_sparse,8192,32,4,32,passed,2.0265579223632812e-06,0.9978639936889522
cudagraph_native_sparse_chunked,8192,32,4,32,passed,2.0265579223632812e-06,1.029244995152112
eager_prespan,8192,32,4,32,passed,2.0265579223632812e-06,9.20832400151994
cudagraph_prespan,8192,32,4,32,passed,2.0265579223632812e-06,0.8516550005879253
cudagraph_prespan_chunked,8192,32,4,32,passed,2.0265579223632812e-06,0.8887760050129145
persistent,8192,32,4,32,passed,1.52587890625e-05,1.1237049984629266
eager_native_sparse,8192,64,4,32,passed,3.814697265625e-06,21.237099994323216
torch_compile_reduce_overhead,8192,64,4,32,passed,3.814697265625e-06,29.797643001074903
cudagraph_native_sparse,8192,64,4,32,passed,3.814697265625e-06,1.9598710059653968
cudagraph_native_sparse_chunked,8192,64,4,32,passed,3.814697265625e-06,2.0096949956496246
eager_prespan,8192,64,4,32,passed,3.814697265625e-06,18.401753004582133
cudagraph_prespan,8192,64,4,32,passed,3.814697265625e-06,1.704713999060914
cudagraph_prespan_chunked,8192,64,4,32,passed,3.814697265625e-06,1.7533860009280033
persistent,8192,64,4,32,passed,3.24249267578125e-05,1.8876429967349395
eager_native_sparse,8192,128,4,32,passed,5.7220458984375e-06,42.62074099824531
torch_compile_reduce_overhead,8192,128,4,32,passed,5.7220458984375e-06,60.527803005243186
cudagraph_native_sparse,8192,128,4,32,passed,5.7220458984375e-06,3.911267005605623
cudagraph_native_sparse_chunked,8192,128,4,32,passed,5.7220458984375e-06,3.604270998039283
eager_prespan,8192,128,4,32,passed,5.7220458984375e-06,36.735041001520585
cudagraph_prespan,8192,128,4,32,passed,5.7220458984375e-06,4.194868997728918
cudagraph_prespan_chunked,8192,128,4,32,passed,5.7220458984375e-06,4.243219998897985
persistent,8192,128,4,32,diff_ge_1_spike,1.0,3.8210239945328794
eager_native_sparse,8192,256,4,32,passed,4.76837158203125e-06,84.79706099751638
torch_compile_reduce_overhead,8192,256,4,32,passed,4.76837158203125e-06,124.76515600428684
cudagraph_native_sparse,8192,256,4,32,passed,4.76837158203125e-06,7.168642005126458
cudagraph_native_sparse_chunked,8192,256,4,32,passed,4.76837158203125e-06,7.24258300033398
eager_prespan,8192,256,4,32,passed,4.76837158203125e-06,76.2144519976573
cudagraph_prespan,8192,256,4,32,passed,4.76837158203125e-06,9.192397999868263
cudagraph_prespan_chunked,8192,256,4,32,passed,4.76837158203125e-06,8.476792005239986
persistent,8192,256,4,32,diff_ge_1_spike,1.0,7.720225999946706
