provider,n_neuron,t_steps,batch_size,fanout,status,max_abs_diff,latency_ms
eager_native_sparse,8192,16,4,32,passed,1.9073486328125e-06,5.389893005485646
torch_compile_reduce_overhead,8192,16,4,32,passed,1.9073486328125e-06,7.665659999474883
cudagraph_native_sparse,8192,16,4,32,passed,1.9073486328125e-06,0.5158700005267747
cudagraph_native_sparse_chunked,8192,16,4,32,passed,1.9073486328125e-06,0.5436430001282133
eager_prespan,8192,16,4,32,passed,1.9073486328125e-06,4.796414003067184
cudagraph_prespan,8192,16,4,32,passed,1.9073486328125e-06,0.41676999535411596
cudagraph_prespan_chunked,8192,16,4,32,passed,1.9073486328125e-06,0.4483700031414628
persistent_prespan_cuda,8192,16,4,32,passed,1.9073486328125e-06,0.991793000139296
cudagraph_prespan_cuda,8192,16,4,32,passed,1.9073486328125e-06,0.25814599939621985
eager_native_sparse,8192,32,4,32,passed,2.0265579223632812e-06,11.5325689985184
torch_compile_reduce_overhead,8192,32,4,32,passed,2.0265579223632812e-06,15.497637999942526
cudagraph_native_sparse,8192,32,4,32,passed,2.0265579223632812e-06,1.000990996544715
cudagraph_native_sparse_chunked,8192,32,4,32,passed,2.0265579223632812e-06,1.0394139972049743
eager_prespan,8192,32,4,32,passed,2.0265579223632812e-06,9.325094004452694
cudagraph_prespan,8192,32,4,32,passed,2.0265579223632812e-06,0.8598200001870282
cudagraph_prespan_chunked,8192,32,4,32,passed,2.0265579223632812e-06,0.8985849999589846
persistent_prespan_cuda,8192,32,4,32,passed,1.52587890625e-05,1.5798809981788509
cudagraph_prespan_cuda,8192,32,4,32,passed,1.52587890625e-05,0.49037099961424246
eager_native_sparse,8192,64,4,32,passed,3.814697265625e-06,22.875155998917762
torch_compile_reduce_overhead,8192,64,4,32,passed,3.814697265625e-06,31.936183004290797
cudagraph_native_sparse,8192,64,4,32,passed,3.814697265625e-06,1.975821993255522
cudagraph_native_sparse_chunked,8192,64,4,32,passed,3.814697265625e-06,1.950183002918493
eager_prespan,8192,64,4,32,passed,3.814697265625e-06,19.875379002769478
cudagraph_prespan,8192,64,4,32,passed,3.814697265625e-06,1.799343001039233
cudagraph_prespan_chunked,8192,64,4,32,passed,3.814697265625e-06,1.8530960005591623
persistent_prespan_cuda,8192,64,4,32,passed,3.24249267578125e-05,2.76887299696682
cudagraph_prespan_cuda,8192,64,4,32,passed,3.24249267578125e-05,0.9280010053771548
eager_native_sparse,8192,128,4,32,passed,5.7220458984375e-06,43.29828500340227
torch_compile_reduce_overhead,8192,128,4,32,passed,5.7220458984375e-06,63.39843499881681
cudagraph_native_sparse,8192,128,4,32,passed,5.7220458984375e-06,3.958495995902922
cudagraph_native_sparse_chunked,8192,128,4,32,passed,5.7220458984375e-06,3.7024949997430667
eager_prespan,8192,128,4,32,passed,5.7220458984375e-06,39.09712399763521
cudagraph_prespan,8192,128,4,32,passed,5.7220458984375e-06,4.620266001438722
cudagraph_prespan_chunked,8192,128,4,32,passed,5.7220458984375e-06,4.342863001511432
persistent_prespan_cuda,8192,128,4,32,diff_ge_1_spike,1.0,5.505614004505333
cudagraph_prespan_cuda,8192,128,4,32,diff_ge_1_spike,1.0,1.866120997874532
eager_native_sparse,8192,256,4,32,passed,4.76837158203125e-06,91.63155099668074
torch_compile_reduce_overhead,8192,256,4,32,passed,4.76837158203125e-06,122.63735499436734
cudagraph_native_sparse,8192,256,4,32,passed,4.76837158203125e-06,7.354041001235601
cudagraph_native_sparse_chunked,8192,256,4,32,passed,4.76837158203125e-06,7.430709003529046
eager_prespan,8192,256,4,32,passed,4.76837158203125e-06,74.30187599675264
cudagraph_prespan,8192,256,4,32,passed,4.76837158203125e-06,8.609010001237039
cudagraph_prespan_chunked,8192,256,4,32,passed,4.76837158203125e-06,8.676839999679942
persistent_prespan_cuda,8192,256,4,32,diff_ge_1_spike,1.0,10.793139997986145
cudagraph_prespan_cuda,8192,256,4,32,diff_ge_1_spike,1.0,3.875486996548716
